nivel	categoria	Q_productos	Q_filas	pct_productos
cat1	PC	565	10697	53.8
cat1	HC	236	4602	22.5
cat1	FOODS	195	3865	18.6
cat1	REF	13	276	1.2
cat2	CABELLO	285	5328	27.1
cat2	DEOS	132	2554	12.6
cat2	SOPAS Y CALDOS	120	2562	11.4
cat2	PIEL2	85	1630	8.1
cat2	ROPA LAVADO	82	1630	7.8
cat2	HOGAR	64	1256	6.1
cat2	ADEREZOS	62	1236	5.9
cat2	PIEL1	49	924	4.7
cat2	VAJILLA	43	848	4.1
cat2	ROPA ACONDICIONADOR	33	698	3.1
cat2	DENTAL	14	261	1.3
cat2	OTROS	13	67	1.2
cat2	TE	13	276	1.2
cat2	PROFESIONAL	12	126	1.1
cat2	ROPA MANCHAS	2	44	0.2
cat3	SHAMPOO	118	2281	11.2
cat3	ACONDICIONADOR	100	1872	9.5
cat3	Aero	87	1711	8.3
cat3	Liquido	50	909	4.8
cat3	Sopas	41	902	3.9
cat3	Polvo	40	861	3.8
cat3	Mayonesa	35	694	3.3
cat3	POST WASH	27	564	2.6
cat3	Acond Mujer	24	452	2.3
cat3	Gel	24	423	2.3
cat3	BARRAS	21	462	2.0
cat3	NoAero	21	447	2.0
cat3	CREMA	21	462	2.0
cat3	Cara	19	401	1.8
cat3	Caldo Cubo	18	378	1.7
cat3	Jabon Regular	18	358	1.7
cat3	PISOS	14	244	1.3
cat3	Tratamiento Fem	13	237	1.2
cat3	Cremoso	13	286	1.2
cat3	Sazonadores	12	264	1.1
cat3	Dishes	11	242	1.0
cat3	Opaco	11	225	1.0
cat3	RollOn	11	198	1.0
cat3	Cristalino	11	242	1.0
cat3	Cuerpo	11	226	1.0
cat3	LIQUIDOS	11	202	1.0
cat3	Concentrado	10	217	1.0
cat3	Mostaza	9	198	0.9
cat3	Salsas Wet	9	198	0.9
cat3	Baking Bags	8	176	0.8
cat3	Jabon Barra	8	172	0.8
cat3	Baño	8	163	0.8
cat3	Ketchup	8	157	0.8
cat3	Caldos Granulados	7	154	0.7
cat3	Jabon Antibacterial	7	50	0.7
cat3	Barra	7	114	0.7
cat3	Diluido	7	135	0.7
cat3	Styling	7	87	0.7
cat3	TOILETTE	7	129	0.7
cat3	Paño	6	108	0.6
cat3	Granolas	6	18	0.6
cat3	Antigrasa	5	97	0.5
cat3	Salsas Dry	5	110	0.5
cat3	Salsa Golf	5	110	0.5
cat3	Vidrios	5	93	0.5
cat3	Bizcochuelo	5	5	0.5
cat3	Cepilllo	4	41	0.4
cat3	LAVANDINA EN GEL	4	88	0.4
cat3	Limpieza	4	12	0.4
cat3	Especial	4	88	0.4
cat3	Pure de Papas	4	88	0.4
cat3	Talco	4	73	0.4
cat3	Pies Talco	4	73	0.4
cat3	Shampoo Bebe	4	51	0.4
cat3	CUIDADO ESPECIAL	3	40	0.3
cat3	Salsas	3	27	0.3
cat3	Azul	3	66	0.3
cat3	INDUSTRIAL	3	30	0.3
cat3	Niños	3	66	0.3
cat3	Barbacoa	3	33	0.3
cat3	Esponja	3	39	0.3
cat3	Stick	2	44	0.2
cat3	SUAVIZANTE	2	20	0.2
cat3	DETOX	2	44	0.2
cat3	Toallitas Bebe	2	44	0.2
cat3	Verde	2	44	0.2
cat3	Ladrillo	2	44	0.2
cat3	Almidon	2	44	0.2
cat3	Frutas	2	34	0.2
cat3	Gel Ducha	2	44	0.2
cat3	Hierbas	2	44	0.2
cat3	Jabon Bebe	2	44	0.2
cat3	NUTRICION	2	16	0.2
cat3	Repelente	2	32	0.2
cat3	PurePapas	1	1	0.1
cat3	Pure de Tomate	1	22	0.1
cat3	Desmaquillante	1	3	0.1
cat3	Pies NoAero	1	2	0.1
cat3	Aji Picante	1	22	0.1
cat3	Pies Aero	1	2	0.1
cat3	Chimichurri	1	22	0.1
cat3	Jabon Barba	1	15	0.1
cat3	Acond Bebe	1	4	0.1
