exp_v10 - FI (set limpio + stacking OLS + categorias)

============================================================
fijo | params: {'n_estimators': 400, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 30, 'colsample_bytree': 0.8, 'subsample': 0.8}
============================================================
                  gain  splits  gain_pct
s2            241684.3     369      35.5
tn_0           83890.2     149      12.3
roll_med_3     43990.2     128       6.5
ncli_idx       38362.0     186       5.6
s3             27943.1     198       4.1
cat3           17155.0     793       2.5
ncli_0         14770.6     152       2.2
mes_corte      13092.2     331       1.9
dprom_24       12550.4      91       1.8
ncli_pend_12   11856.1     319       1.7
cat2           11367.9     487       1.7
roll_max_3     11351.5      91       1.7
tn_1            9153.0     136       1.3
pred_ols_yoy    5821.4     219       0.9
ma3_lag3        5065.0     156       0.7
tn_15           4973.9     247       0.7
pred_ols_rec    4331.0     232       0.6
tn_22           4084.0     181       0.6
log_prom        3878.4     251       0.6
edad_serie      3694.6     172       0.5
tn_17           3525.8     215       0.5
tn_16           3363.5     195       0.5
pend_12         3334.5     153       0.5
dprom_6         3167.9     105       0.5
r_yoy_tri       3153.5     211       0.5
tn_13           3075.3     220       0.5
ncli_prom       3010.5     196       0.4
pend_6          2954.7      80       0.4
tn_18           2807.5     195       0.4
tn_14           2796.7     196       0.4
ncli_pend_3     2785.1     198       0.4
ma3_lag9        2739.8     133       0.4
roll_med_6      2678.7     140       0.4
cv              2608.5     133       0.4
roll_min_3      2544.5      85       0.4
roll_std_3      2465.0      96       0.4
s6              2464.9     123       0.4
dmax_24         2406.9     109       0.4
tn_23           2276.3     164       0.3
diff_0_12       2245.8     161       0.3
tn_9            2141.5     152       0.3
tn_12           2093.8     159       0.3
tn_2            2086.6     132       0.3
tn_19           2040.5     157       0.3
tn_11           1933.1     129       0.3
tn_10           1844.5     135       0.3
tn_8            1807.1     133       0.3
tn_20           1800.6     142       0.3
tn_21           1797.9     130       0.3
ma3_lag6        1770.2     117       0.3
tn_3            1764.3     135       0.3
tn_7            1648.3     129       0.2
ncli_pend_6     1598.1     107       0.2
roll_med_12     1581.6     120       0.2
r_1_2           1545.0     103       0.2
diff_1_2        1471.5     107       0.2
dmax_12         1431.0      71       0.2
roll_min_6      1289.4      91       0.2
basket_idx      1289.4     104       0.2
tn_6            1274.4     105       0.2
tn_4            1216.3      98       0.2
acel_ma3        1184.0      82       0.2
roll_min_12     1177.0      91       0.2
diff_3_4        1159.2     100       0.2
diff_4_5        1157.2      97       0.2
roll_std_6      1113.5      86       0.2
roll_max_12     1111.3      85       0.2
diff_0_1        1101.1      78       0.2
tn_5            1086.1      88       0.2
diff_2_3        1047.2      81       0.2
diff_5_6        1019.6      89       0.1
r_0_1           1003.7      81       0.1
roll_max_6       999.3      81       0.1
dmax_6           980.5      68       0.1
r_02_34          949.0      76       0.1
dmin_12          938.3      57       0.1
dmin_6           904.0      52       0.1
dmin_24          820.3      62       0.1
r_tri            680.8      51       0.1
cat1             602.4      28       0.1
anio_corte       429.2      15       0.1

============================================================
optuna | params: {'n_estimators': 259, 'learning_rate': 0.021376329380520916, 'num_leaves': 35, 'min_child_samples': 10, 'lambda_l1': 0.00538181231823894, 'lambda_l2': 4.19479556571145e-07, 'colsample_bytree': 0.7509770931791107, 'subsample': 0.5810337674790349}
============================================================
                  gain  splits  gain_pct
s2            104633.4     237      24.9
tn_0           56049.7     122      13.3
ncli_idx       30330.2     118       7.2
ncli_0         29087.5     173       6.9
roll_med_3     16312.4      84       3.9
dprom_24       15347.0      89       3.6
cat3           13435.6     609       3.2
mes_corte      13053.8     362       3.1
cat2            9196.2     386       2.2
tn_1            6636.8      99       1.6
pred_ols_yoy    4891.0     174       1.2
tn_15           4565.3     200       1.1
ma3_lag3        4259.9     123       1.0
tn_22           4208.6     167       1.0
pred_ols_rec    4001.1     200       1.0
edad_serie      3845.9     171       0.9
s3              3808.7     100       0.9
dprom_6         3343.7      89       0.8
tn_17           3256.0     184       0.8
tn_16           2937.5     155       0.7
ma3_lag9        2867.3     127       0.7
pend_6          2782.6      80       0.7
roll_med_6      2779.4     138       0.7
r_yoy_tri       2706.1     153       0.6
s6              2705.1     133       0.6
ncli_pend_12    2704.4     162       0.6
tn_13           2671.7     167       0.6
log_prom        2650.4     151       0.6
tn_18           2633.5     149       0.6
ncli_prom       2383.7     141       0.6
cv              2372.5      90       0.6
dmax_24         2301.0      86       0.5
tn_14           2178.5     129       0.5
roll_min_3      2141.4      71       0.5
tn_23           2081.9     110       0.5
ncli_pend_3     2058.3     121       0.5
tn_11           1749.6     117       0.4
diff_0_12       1730.4     111       0.4
dmax_12         1686.1      64       0.4
roll_min_6      1624.2      87       0.4
tn_10           1598.1     100       0.4
tn_21           1575.0      98       0.4
tn_20           1565.9     102       0.4
tn_3            1514.5      98       0.4
dmax_6          1487.8      63       0.4
tn_19           1486.2     101       0.4
ma3_lag6        1474.4      83       0.4
tn_9            1455.1      91       0.3
tn_12           1454.4      97       0.3
pend_12         1383.8      78       0.3
tn_2            1334.2      82       0.3
roll_max_3      1324.6      79       0.3
tn_8            1228.1      82       0.3
tn_7            1226.2      78       0.3
ncli_pend_6     1217.5      76       0.3
basket_idx      1197.2      77       0.3
diff_0_1        1178.7      69       0.3
tn_6            1011.6      70       0.2
roll_med_12      997.8      63       0.2
tn_4             932.1      64       0.2
