exp_v12 - FI del modelo de producto v11 + ocurrencia

============================================================
fijo | occ_gain=0.7%
============================================================
                      gain  splits  gain_pct
s2                275438.5     409      39.5
tn_0               79246.9     120      11.4
roll_med_3         43570.4     102       6.2
ncli_idx           35220.1     134       5.0
dprom_24           18047.9     102       2.6
ncli_0             17909.2      93       2.6
cat3               13112.2     598       1.9
ncli_pend_12       12818.5     288       1.8
tn_1               10599.4      95       1.5
c3_tn_10            7913.5     160       1.1
c3_tn_22            7555.1     166       1.1
mes_corte           6862.5     138       1.0
cat2                6781.1     322       1.0
c3_tn_15            5785.6     143       0.8
c3_tn_9             5617.1     161       0.8
s3                  5398.3     120       0.8
c3_ma3_lag3         5309.2      97       0.8
c3_tn_13            2828.8     118       0.4
c3_tn_4             2587.0      72       0.4
occ_demanda_norm    2361.4     144       0.3
pend_12             2341.5      99       0.3
c3_tn_16            2330.3     106       0.3
c3_tn_21            2273.4     101       0.3
pred_ols_rec        2191.2     138       0.3
r_yoy_tri           2137.2     130       0.3
pred_ols_yoy        2073.0     103       0.3
tn_23               2025.3     128       0.3
ncli_prom           2007.2     108       0.3
ncli_pend_3         1953.7     132       0.3
c3_tn_19            1809.6     114       0.3
c3_s6               1780.1      69       0.3
c3_pend_6           1768.6      50       0.3
tn_15               1760.5     130       0.3
dmax_24             1750.3      90       0.3
log_prom            1675.8     113       0.2
tn_11               1664.9     105       0.2
tn_13               1658.1     118       0.2
c3_tn_18            1653.8      89       0.2
tn_17               1644.7     123       0.2
sh_0                1630.1      94       0.2
roll_med_6          1581.1      93       0.2
occ_n_esperados     1565.6     107       0.2
occ_demanda_esp     1563.7      93       0.2
c3_tn_17            1518.7      90       0.2
tn_19               1501.6     109       0.2
sh_pend_12          1462.9     100       0.2
tn_22               1462.5      98       0.2
tn_18               1462.1     107       0.2
tn_16               1457.5     107       0.2
tn_14               1434.2     115       0.2
diff_0_12           1432.0      91       0.2
c3_tn_8             1422.2      82       0.2
c3_tn_14            1414.4      88       0.2
diff_0_1            1405.3      86       0.2
tn_12               1336.4      94       0.2
edad_serie          1327.7      66       0.2
c3_tn_20            1301.4      76       0.2
c3_roll_med_12      1295.1      82       0.2
roll_min_6          1278.3      89       0.2
ncli_pend_6         1269.5      81       0.2
c3_r_yoy_tri        1226.1      81       0.2
ma3_lag9            1222.1      71       0.2
c3_tn_23            1219.5      76       0.2
c3_r_0_1            1181.1      67       0.2
cv                  1179.4      81       0.2
c3_tn_7             1172.6      62       0.2
c3_diff_0_12        1165.8      76       0.2
sh_ma3_lag3         1138.8      69       0.2
s6                  1137.3      66       0.2
basket_idx          1136.0      84       0.2
c3_tn_5             1132.2      51       0.2
roll_max_3          1131.7      72       0.2
roll_med_12         1123.7      81       0.2
roll_std_3          1115.3      69       0.2
sh_yoy              1112.4      85       0.2
tn_3                1090.5      86       0.2
tn_20               1086.6      82       0.2
c3_tn_2             1066.5      61       0.2
dmax_12             1044.1      43       0.1
c3_diff_1_2         1040.4      70       0.1
c3_pend_12          1031.8      62       0.1
roll_min_3          1031.0      66       0.1
sh_pend_3           1021.1      77       0.1
c3_cv               1010.3      60       0.1
tn_10               1009.0      74       0.1
dmin_12             1007.4      54       0.1
tn_9                 993.0      75       0.1
tn_2                 985.1      69       0.1
dprom_6              983.5      46       0.1
diff_2_3             937.4      70       0.1
c3_tn_6              928.7      60       0.1
c3_tn_11             926.4      64       0.1
sh_acel              896.4      69       0.1
c3_tn_3              886.4      52       0.1
r_1_2                883.9      63       0.1
c3_tn_12             874.3      64       0.1
tn_7                 871.5      65       0.1
roll_max_6           866.6      65       0.1
c3_dprom_24          865.8      53       0.1
ma3_lag6             861.3      60       0.1
c3_diff_0_1          848.3      56       0.1
diff_3_4             844.3      68       0.1
roll_max_12          840.1      62       0.1
tn_6                 837.4      68       0.1
tn_21                837.0      71       0.1
c3_roll_med_6        815.7      41       0.1
c3_log_prom          814.8      53       0.1
pend_6               799.9      33       0.1
ma3_lag3             796.7      55       0.1
c3_diff_2_3          795.8      47       0.1
diff_5_6             786.1      64       0.1
diff_1_2             776.5      56       0.1
c3_roll_max_12       746.8      48       0.1
c3_roll_med_3        743.2      45       0.1
sh_prom12            734.7      49       0.1
tn_5                 713.1      52       0.1
diff_4_5             712.0      54       0.1
c3_s3                703.9      47       0.1
r_0_1                698.7      51       0.1
sh_ma3               665.1      48       0.1
tn_8                 659.4      52       0.1
sh_pend_6            618.0      52       0.1
roll_std_6           611.0      47       0.1
c3_dmax_12           610.5      40       0.1
c3_tn_1              605.3      43       0.1
tn_4                 605.1      49       0.1
roll_min_12          587.6      46       0.1
c3_r_tri             576.9      42       0.1
acel_ma3             572.2      29       0.1
dmax_6               568.9      42       0.1
c3_tn_0              529.2      34       0.1
r_02_34              499.1      40       0.1
dmin_24              492.4      36       0.1
dmin_6               446.2      28       0.1
c3_s2                427.6      35       0.1
c3_acel_ma3          303.2      16       0.0
r_tri                255.8      16       0.0
cat1                 129.0       6       0.0
anio_corte            32.2       2       0.0

============================================================
v11opt | occ_gain=1.1%
============================================================
                      gain  splits  gain_pct
s3                169564.1     444      19.8
s2                120700.3     335      14.1
roll_std_3         51809.8     290       6.0
tn_0               46310.9     172       5.4
roll_max_3         30110.7     220       3.5
roll_med_3         23670.9     194       2.8
ncli_0             21314.3     242       2.5
ncli_idx           19411.0     247       2.3
dprom_24           15836.0     177       1.8
cat3               15395.5    1031       1.8
ncli_pend_12        9439.5     536       1.1
cat2                7264.9     485       0.8
c3_tn_10            7097.1     270       0.8
c3_tn_22            6873.6     270       0.8
c3_tn_15            6502.6     289       0.8
mes_corte           5794.3     174       0.7
tn_1                5693.4     195       0.7
c3_tn_9             5554.1     230       0.6
sh_ma3              5143.2     147       0.6
pend_12             4972.1     265       0.6
tn_13               4514.5     385       0.5
c3_ma3_lag3         4462.3     175       0.5
r_yoy_tri           4149.5     323       0.5
tn_15               4039.2     344       0.5
pred_ols_rec        3995.0     334       0.5
tn_12               3927.6     345       0.5
tn_16               3912.9     339       0.5
c3_tn_13            3811.5     250       0.4
occ_demanda_norm    3765.2     313       0.4
ma3_lag9            3605.2     261       0.4
occ_n_esperados     3509.8     282       0.4
tn_14               3484.8     314       0.4
tn_17               3433.1     293       0.4
tn_18               3384.0     292       0.4
ncli_pend_3         3299.3     274       0.4
c3_tn_16            3294.0     226       0.4
sh_pend_12          3228.5     281       0.4
log_prom            3227.2     266       0.4
tn_11               3223.4     276       0.4
pred_ols_yoy        3219.1     237       0.4
c3_tn_4             3135.4     173       0.4
tn_19               3134.9     282       0.4
diff_0_12           3130.9     261       0.4
ncli_prom           3053.3     244       0.4
tn_3                3029.9     264       0.4
tn_8                3001.3     266       0.4
ncli_pend_6         2922.3     250       0.3
tn_23               2914.3     243       0.3
tn_10               2884.9     261       0.3
dmax_24             2821.0     211       0.3
sh_yoy              2811.3     261       0.3
tn_22               2806.4     241       0.3
c3_tn_14            2789.6     225       0.3
roll_med_12         2776.0     249       0.3
c3_tn_21            2771.2     171       0.3
c3_tn_19            2758.3     209       0.3
c3_tn_17            2745.8     222       0.3
sh_pend_3           2720.3     250       0.3
tn_2                2679.5     187       0.3
diff_2_3            2633.1     236       0.3
c3_pend_6           2621.3     110       0.3
tn_20               2559.2     227       0.3
basket_idx          2519.1     226       0.3
tn_9                2492.1     232       0.3
diff_4_5            2478.9     223       0.3
tn_7                2474.8     223       0.3
c3_tn_7             2444.4     197       0.3
sh_pend_6           2430.7     219       0.3
roll_med_6          2419.9     193       0.3
diff_5_6            2410.0     223       0.3
diff_3_4            2398.2     220       0.3
c3_tn_18            2388.3     193       0.3
sh_acel             2356.5     210       0.3
cv                  2336.0     182       0.3
c3_r_yoy_tri        2331.7     186       0.3
c3_tn_8             2323.4     182       0.3
tn_21               2303.4     202       0.3
roll_min_6          2287.8     186       0.3
ma3_lag6            2282.7     193       0.3
roll_max_12         2250.4     194       0.3
