exp_v13 FI

============================================================
fijo | cat4=8.8% occ=0.7%
============================================================
                      gain  splits  gain_pct
s2                245900.8     358      34.6
tn_0               94181.2     136      13.2
roll_med_3         42428.4      97       6.0
ncli_idx           40125.9     111       5.6
tn_1               17098.6      83       2.4
dprom_24           14919.4      58       2.1
cat3               12363.9     522       1.7
ncli_0             11353.2      75       1.6
s3                 11018.6     134       1.5
ncli_pend_12        9042.0     212       1.3
roll_max_3          7878.5      81       1.1
c3_tn_10            5946.9     116       0.8
mes_corte           5713.9      94       0.8
c3_tn_22            5195.0      97       0.7
c3_ma3_lag3         5157.0      94       0.7
c4_tn_10            4814.1     101       0.7
cat2                4524.6     201       0.6
c3_tn_9             4388.4      97       0.6
c3_tn_15            4120.0      91       0.6
c4_tn_22            3168.3     106       0.4
c4_tn_16            3157.6     121       0.4
c4_tn_9             2723.2      98       0.4
pend_12             2590.3      89       0.4
roll_std_3          2211.2      67       0.3
roll_min_3          2166.2      53       0.3
c3_tn_13            2090.9      69       0.3
c3_tn_4             2020.6      50       0.3
r_yoy_tri           1996.6     108       0.3
c4_tn_13            1975.9      93       0.3
c4_tn_17            1970.1     104       0.3
c4_tn_15            1959.2      99       0.3
occ_demanda_norm    1895.1     121       0.3
pred_ols_rec        1786.3     108       0.3
c4_tn_19            1711.4      89       0.2
c4_r_yoy_tri        1680.4      90       0.2
log_prom            1670.4      93       0.2
tn_23               1607.5     101       0.2
c4_tn_14            1546.8      77       0.2
c4_r_tri            1513.4      27       0.2
sh_0                1490.5      68       0.2
tn_13               1469.4      92       0.2
tn_14               1456.9     104       0.2
c3_tn_19            1431.4      79       0.2
tn_17               1397.7      98       0.2
c4_roll_med_12      1375.6      99       0.2
c4_tn_23            1365.9      64       0.2
occ_n_esperados     1350.3      83       0.2
ncli_pend_3         1338.8      96       0.2
s6                  1322.4      67       0.2
tn_15               1317.6      85       0.2
sh4_pend_12         1274.5      78       0.2
tn_11               1260.0      82       0.2
dmax_24             1250.9      63       0.2
c4_dprom_24         1241.0      56       0.2
roll_med_6          1235.1      70       0.2
sh_pend_12          1230.5      80       0.2
cv                  1230.1      70       0.2
c4_tn_21            1215.4      55       0.2
c3_cv               1200.2      38       0.2
ncli_prom           1198.5      67       0.2
c3_tn_18            1197.2      61       0.2
tn_2                1191.9      76       0.2
c4_tn_7             1169.1      59       0.2
sh4_yoy             1163.3      79       0.2
c3_tn_21            1162.6      49       0.2
c4_tn_20            1148.1      53       0.2
c4_cv               1135.0      65       0.2
c3_tn_23            1129.2      56       0.2
occ_demanda_esp     1125.2      59       0.2
c3_tn_17            1105.5      65       0.2
c3_tn_8             1099.8      51       0.2
tn_22               1096.4      72       0.2
diff_0_12           1079.4      59       0.2
sh_yoy              1065.1      78       0.1
c3_tn_14            1053.8      55       0.1
