exp_v14 FI (cat4 en lugar de cat3)

========================================================
fijo | cat4=11.4%
========================================================
                    gain  splits  gain_pct
s2              287991.8     388      40.6
tn_0             68674.9     102       9.7
roll_med_3       42466.1     109       6.0
ncli_idx         35707.6     131       5.0
cat4             29151.0    1072       4.1
tn_1             16746.6     104       2.4
dprom_24         14918.9      76       2.1
ncli_0           14329.4     118       2.0
ncli_pend_12     12436.5     258       1.8
mes_corte         6989.1     126       1.0
c4_tn_22          6683.8     160       0.9
c4_tn_10          5371.7     106       0.8
c4_tn_9           4758.9     161       0.7
s3                4270.9     121       0.6
ma3_lag3          3984.4      97       0.6
c4_tn_16          3621.3     105       0.5
c4_tn_15          3170.2     135       0.4
pend_12           3139.6     124       0.4
s6                2909.4     131       0.4
tn_15             2796.7     154       0.4
pred_ols_rec      2751.4     167       0.4
c4_tn_21          2633.6     104       0.4
roll_med_6        2375.2     105       0.3
c4_tn_14          2317.6     109       0.3
c4_tn_13          2255.4     108       0.3
tn_17             2230.4     133       0.3
tn_23             2220.2     134       0.3
dprom_6           2211.7      50       0.3
c4_r_tri          2159.1      42       0.3
c4_tn_17          2125.2     122       0.3
dmax_24           2086.3      77       0.3
ncli_pend_3       2043.5     130       0.3
r_yoy_tri         2014.5     124       0.3
ma3_lag9          1865.0      85       0.3
roll_med_12       1804.4     104       0.3
log_prom          1803.4     113       0.3
pred_ols_yoy      1767.3      89       0.2
sh4_0             1742.3      90       0.2
c4_tn_23          1732.1      77       0.2
ncli_prom         1724.0     105       0.2
tn_22             1687.9      95       0.2
sh4_pend_12       1672.0     105       0.2
c4_tn_19          1656.5      95       0.2
c4_r_yoy_tri      1624.7      82       0.2
tn_2              1589.4     100       0.2
ncli_pend_6       1586.0      95       0.2
cat2              1495.9      74       0.2
roll_max_3        1495.8      75       0.2
roll_std_3        1490.4      87       0.2
sh4_ma3           1470.6      83       0.2
tn_13             1467.2     100       0.2
tn_11             1458.8      92       0.2
tn_14             1456.8     103       0.2
c4_tn_20          1434.3      85       0.2
cv                1429.4      70       0.2
tn_19             1397.9     108       0.2
c4_tn_18          1376.3      85       0.2
tn_18             1369.7      90       0.2
ma3_lag6          1362.8      84       0.2
tn_16             1358.6      94       0.2
sh4_yoy           1354.3      99       0.2
sh4_prom12        1327.1      85       0.2
sh4_pend_3        1302.3      88       0.2
c4_pend_6         1300.9      56       0.2
tn_20             1270.6      91       0.2
tn_3              1268.5      89       0.2
dmax_12           1257.8      60       0.2
c4_tn_7           1252.2      69       0.2
c4_ma3_lag3       1236.1      59       0.2
c4_tn_2           1234.6      75       0.2
tn_21             1197.8      83       0.2
tn_12             1179.2      85       0.2
c4_tn_11          1177.5      80       0.2
edad_serie        1175.5      56       0.2
sh4_pend_6        1169.7      84       0.2
roll_min_6        1166.2      77       0.2
diff_0_12         1148.9      76       0.2
c4_tn_5           1126.4      64       0.2
sh4_acel          1112.6      77       0.2
c4_tn_4           1101.5      73       0.2
tn_7              1096.9      79       0.2
tn_10             1087.9      86       0.2
c4_tn_0           1073.2      55       0.2
pend_6            1055.6      43       0.1
diff_0_1          1028.3      58       0.1
basket_idx        1026.5      78       0.1
c4_roll_med_12     996.8      81       0.1
c4_diff_1_2        993.8      66       0.1
tn_8               992.3      69       0.1
roll_max_6         971.3      71       0.1
diff_5_6           967.9      76       0.1
c4_tn_12           949.8      62       0.1
roll_min_3         943.1      57       0.1
diff_3_4           942.3      71       0.1
c4_roll_max_12     911.2      61       0.1
dmax_6             899.5      45       0.1
tn_9               898.2      63       0.1
c4_diff_0_12       893.4      59       0.1
c4_dprom_24        885.3      57       0.1
c4_roll_med_6      871.9      50       0.1
c4_s6              869.0      53       0.1
c4_diff_0_1        863.1      46       0.1
c4_tn_8            849.0      56       0.1
c4_acel_ma3        844.6      40       0.1
c4_tn_6            840.5      50       0.1
tn_5               839.7      71       0.1
tn_4               833.0      63       0.1
r_0_1              828.1      56       0.1
tn_6               822.0      63       0.1
c4_roll_med_3      813.3      47       0.1
diff_1_2           805.8      56       0.1
c4_pend_12         799.5      48       0.1
roll_std_6         788.2      59       0.1
c4_log_prom        752.6      47       0.1
c4_s3              751.8      48       0.1
c4_s2              744.2      46       0.1
