                      gain  splits  gain_pct
s2                252465.1     331      36.0
tn_0               68271.6      94       9.7
roll_med_3         37199.3      91       5.3
ncli_idx           30847.5      93       4.4
mix_ratio          22967.4      82       3.3
tn_1               21681.0     108       3.1
dprom_24           15801.2      70       2.3
ncli_0             15413.8      95       2.2
q_s3               14071.2     143       2.0
cat3               13013.0     580       1.9
s3                 10271.8      95       1.5
c3_tn_10            7250.0     150       1.0
mes_corte           6891.7     125       1.0
cat2                6699.3     288       1.0
c3_ma3_lag3         6501.1     118       0.9
c3_tn_22            6199.0     126       0.9
c3_tn_9             6083.7     154       0.9
c3_tn_15            5814.0     143       0.8
ncli_pend_12        3440.2     123       0.5
ncli_pend_3         2760.2     181       0.4
roll_max_3          2744.9      52       0.4
q_yoy               2522.8     133       0.4
c3_tn_16            2362.5     100       0.3
c3_tn_13            2332.5      89       0.3
r_yoy_tri           2287.0     120       0.3
q_pend12            2157.8      90       0.3
stk_n               2136.2      93       0.3
pred_ols_rec        2093.8     126       0.3
occ_demanda_norm    2090.7     123       0.3
tn_15               1976.0     115       0.3
occ_n_esperados     1903.0     114       0.3
stk_vs_tn           1878.5     131       0.3
ncli_prom           1877.0     104       0.3
log_prom            1800.6     115       0.3
q_diff_0_1          1790.2      88       0.3
c3_tn_23            1764.4      55       0.3
c3_tn_4             1760.7      77       0.3
c3_tn_19            1747.4      95       0.2
stk_cob             1683.6     113       0.2
c3_tn_21            1605.6      69       0.2
c3_tn_20            1591.4      96       0.2
pred_ols_yoy        1549.4      87       0.2
stk_cob_delta       1522.4      71       0.2
c3_tn_18            1507.3      86       0.2
tn_17               1485.0     107       0.2
tn_23               1481.3      93       0.2
pend_12             1480.2      68       0.2
q_diff_0_2          1472.7      91       0.2
tn_13               1456.0      96       0.2
c3_pend_6           1433.6      41       0.2
c3_tn_8             1429.3      75       0.2
tn_19               1417.9     104       0.2
tn_14               1409.3     105       0.2
tn_16               1389.1      99       0.2
sh_0                1353.0      68       0.2
c3_tn_17            1335.4      72       0.2
dmax_24             1333.2      74       0.2
c3_roll_med_12      1331.8      80       0.2
q_pend6             1329.8      60       0.2
mix_yoy             1326.6      91       0.2
dmax_12             1297.7      63       0.2
tn_11               1290.9      83       0.2
c3_tn_14            1282.3      82       0.2
tn_12               1279.4      84       0.2
stk_delta1          1266.5      76       0.2
diff_0_12           1224.3      76       0.2
c3_diff_0_12        1215.9      77       0.2
tn_2                1198.9      82       0.2
occ_demanda_esp     1184.1      66       0.2
c3_s6               1172.0      48       0.2
q_s6                1164.5      70       0.2
tn_22               1145.0      78       0.2
cv                  1134.7      61       0.2
roll_med_6          1127.1      67       0.2
mix_pend6           1093.6      82       0.2
stk_pend3           1092.3      63       0.2
ncli_pend_6         1084.0      69       0.2
stk_nivel           1076.8      73       0.2
tn_18               1076.5      75       0.2
sh_yoy              1064.5      80       0.2
sh_pend_12          1060.4      67       0.2
sh_ma3              1049.1      67       0.1
tn_3                1033.1      75       0.1
c3_pend_12          1033.1      58       0.1
s6                   999.0      53       0.1
c3_r_0_1             970.5      55       0.1
c3_tn_11             961.3      67       0.1
ma3_lag9             957.5      56       0.1
c3_tn_5              942.2      50       0.1
roll_min_6           933.1      67       0.1
tn_20                928.5      62       0.1
qtn_align            920.4      62       0.1
diff_2_3             904.5      68       0.1
q_dmax6              891.4      61       0.1
roll_std_3           881.7      56       0.1
pend_6               875.5      32       0.1
c3_dmax_12           874.1      56       0.1
c3_diff_2_3          874.0      53       0.1
c3_r_yoy_tri         873.8      59       0.1
ma3_lag6             867.6      61       0.1
c3_tn_3              859.6      42       0.1
tn_9                 841.3      62       0.1
c3_cv                834.4      45       0.1
c3_tn_12             833.0      59       0.1
roll_min_3           832.2      49       0.1
c3_log_prom          830.8      49       0.1
sh_pend_3            829.9      65       0.1
roll_med_12          828.6      56       0.1
basket_idx           814.8      57       0.1
diff_5_6             813.5      65       0.1
c3_roll_med_6        810.5      47       0.1
tn_21                800.3      57       0.1
c3_tn_2              791.0      43       0.1
diff_1_2             781.5      56       0.1
diff_4_5             781.2      58       0.1
sh_ma3_lag3          771.1      49       0.1
sh_acel              767.3      54       0.1
c3_tn_7              755.4      47       0.1
diff_3_4             740.6      59       0.1
roll_max_12          735.4      54       0.1
r_1_2                714.7      49       0.1
tn_4                 711.4      57       0.1
tn_6                 703.7      54       0.1
sh_pend_6            698.0      54       0.1
tn_7                 696.4      51       0.1
tn_8                 694.3      51       0.1
sh_prom12            686.1      51       0.1
q_roll_std6          672.0      51       0.1
dprom_6              671.0      40       0.1
c3_tn_6              664.4      40       0.1
c3_diff_0_1          660.3      41       0.1
roll_max_6           641.7      47       0.1
ma3_lag3             640.0      41       0.1
dmax_6               639.8      43       0.1
c3_dprom_24          617.6      41       0.1
c3_diff_1_2          604.3      44       0.1
edad_serie           597.5      29       0.1
diff_0_1             592.8      37       0.1
c3_roll_max_12       576.8      36       0.1
dmin_12              570.0      33       0.1
tn_10                564.4      43       0.1
roll_min_12          552.9      43       0.1
c3_tn_0              547.6      36       0.1
c3_s3                547.3      33       0.1
c3_roll_med_3        539.6      36       0.1
tn_5                 534.8      40       0.1
roll_std_6           528.4      39       0.1
c3_tn_1              496.2      36       0.1
c3_acel_ma3          454.8      30       0.1
dmin_24              445.6      28       0.1
c3_s2                427.5      31       0.1
r_02_34              381.7      30       0.1
acel_ma3             375.2      26       0.1
r_0_1                369.3      31       0.1
