exp_v8 LGBM stack - feature importance (gain/splits)

                  gain  splits  gain_pct
s2            255192.2     493      38.9
tn_0          117714.1     292      17.9
ncli_idx       41510.7     224       6.3
s3             33769.8     253       5.1
tn_1           27378.1     249       4.2
ncli_0         15843.7     238       2.4
mes_corte      14966.8     435       2.3
ncli_pend_12    9567.3     389       1.5
pend_6          6911.7     195       1.1
tn_15           6573.9     339       1.0
pred_ols_yoy    5883.1     276       0.9
tn_16           5570.1     341       0.8
cv              5056.6     275       0.8
ncli_prom       4933.1     339       0.8
s12             4714.7     358       0.7
r_yoy_tri       4673.2     312       0.7
pred_ols_rec    4606.4     301       0.7
tn_22           4571.6     245       0.7
tn_17           4153.0     281       0.6
ncli_pend_3     4050.7     300       0.6
tn_12           4030.1     319       0.6
tn_13           3871.2     290       0.6
s6              3657.2     173       0.6
tn_14           3594.3     274       0.5
tn_23           3557.6     253       0.5
tn_10           3399.8     263       0.5
tn_18           3387.5     244       0.5
tn_21           3172.3     247       0.5
pend_12         3026.4     163       0.5
tn_11           2877.2     222       0.4
r_sem           2826.3     182       0.4
pend_3          2810.9     195       0.4
tn_9            2770.4     223       0.4
tn_2            2728.0     205       0.4
tn_19           2682.6     212       0.4
tn_3            2676.4     228       0.4
ncli_pend_6     2624.1     186       0.4
r_1_2           2613.6     180       0.4
tn_7            2574.4     217       0.4
basket_idx      2527.1     197       0.4
tn_8            2477.3     196       0.4
tn_4            2427.5     199       0.4
r_0_1           2406.6     173       0.4
tn_20           2379.1     193       0.4
tn_5            2249.5     202       0.3
tn_6            1719.1     159       0.3
r_02_34         1717.4     139       0.3
r_tri           1378.3     116       0.2
anio_corte       316.5      15       0.0
