exp_v8 - FI de los modelos Optuna L1 vs RMSE (+edad_serie)

============================================================
MODELO L1 (objective=l1, seleccion por wape)
params: {'n_estimators': 438, 'learning_rate': 0.01207132765892219, 'num_leaves': 8, 'min_child_samples': 99, 'lambda_l1': 0.00013048175681543416, 'lambda_l2': 0.041001378418336655, 'colsample_bytree': 0.8576831155663824, 'subsample': 0.9214367378559709}
============================================================
                  gain  splits  gain_pct
tn_0          321321.2     290      38.1
s2            194763.5     249      23.1
ncli_idx      108695.2     108      12.9
ncli_0         53720.4     114       6.4
mes_corte      30857.9     341       3.7
pend_6         15914.7     155       1.9
tn_1           15120.6      28       1.8
s3             11240.7     110       1.3
tn_15          10036.4     123       1.2
pred_ols_yoy    9479.6     105       1.1
cv              8530.3     104       1.0
s6              7762.1     153       0.9
tn_22           6427.5      82       0.8
edad_serie      6003.8     124       0.7
pred_ols_rec    5095.8      77       0.6
tn_16           4516.6      68       0.5
r_sem           4188.1      99       0.5
tn_17           2598.5      54       0.3
r_yoy_tri       2278.6      45       0.3
ncli_pend_12    2219.6      64       0.3
tn_14           2049.9      50       0.2
pend_3          1886.3      44       0.2
tn_10           1648.2      41       0.2
ncli_prom       1608.1      39       0.2
ncli_pend_3     1497.8      32       0.2
tn_11           1443.9      38       0.2
tn_12           1368.9      42       0.2
tn_23           1204.8      19       0.1
ncli_pend_6     1180.7      27       0.1
pend_12         1107.0      29       0.1
tn_9            1058.4      33       0.1
tn_13            901.0      30       0.1
tn_21            833.4      25       0.1
tn_3             677.6      16       0.1
basket_idx       549.5      20       0.1
tn_2             438.2      13       0.1
tn_7             416.1      13       0.0
tn_18            350.9       8       0.0
tn_8             345.8      11       0.0
r_tri            345.2       3       0.0
r_02_34          271.4       8       0.0
r_0_1            264.0       8       0.0
s12              249.6       9       0.0
r_1_2            213.5       6       0.0
tn_4             208.4       6       0.0
tn_19             79.0       2       0.0
tn_5              26.7       1       0.0
tn_6               0.0       0       0.0
tn_20              0.0       0       0.0
anio_corte         0.0       0       0.0

============================================================
MODELO RMSE (objective=l2, seleccion por rmse)
params: {'n_estimators': 303, 'learning_rate': 0.023307208024226138, 'num_leaves': 12, 'min_child_samples': 36, 'lambda_l1': 6.5318429352372474e-06, 'lambda_l2': 2.435702108684536e-07, 'colsample_bytree': 0.8468827596155086, 'subsample': 0.6248746532240728}
============================================================
                 gain  splits  gain_pct
tn_0          15208.5     160      33.7
ncli_idx       2677.5      56       5.9
pend_6         1999.7     124       4.4
mes_corte      1953.2     178       4.3
s2             1779.5     103       3.9
ncli_0         1310.9      66       2.9
ncli_pend_12   1270.9     111       2.8
pend_3         1149.5      93       2.5
cv             1032.9      94       2.3
tn_15           909.2     103       2.0
r_sem           861.7      91       1.9
pred_ols_rec    856.7      81       1.9
s6              785.0      83       1.7
pred_ols_yoy    761.2     105       1.7
s3              749.8      61       1.7
r_yoy_tri       721.7      87       1.6
ncli_pend_3     688.3      95       1.5
tn_16           626.2      76       1.4
ncli_prom       599.5      74       1.3
tn_14           561.3      67       1.2
tn_19           550.8      71       1.2
tn_8            502.7      51       1.1
r_tri           476.1      62       1.1
tn_20           469.4      65       1.0
tn_12           444.0      88       1.0
ncli_pend_6     443.2      79       1.0
tn_17           421.5      80       0.9
tn_9            417.5      49       0.9
s12             414.2      62       0.9
edad_serie      410.4      80       0.9
pend_12         397.6      51       0.9
tn_10           341.4      47       0.8
tn_1            339.3      51       0.8
tn_2            284.6      39       0.6
tn_13           279.6      51       0.6
tn_23           268.9      60       0.6
tn_18           253.0      41       0.6
tn_7            246.2      41       0.5
tn_22           245.3      52       0.5
tn_11           231.8      52       0.5
r_1_2           167.8      31       0.4
tn_5            161.1      38       0.4
basket_idx      156.0      31       0.3
r_0_1           137.9      35       0.3
tn_21           130.2      37       0.3
r_02_34         114.0      25       0.3
tn_3            108.2      23       0.2
tn_4             90.9      17       0.2
tn_6             64.7      10       0.1
anio_corte       21.7       6       0.0
