exp_v9 LGBM (sin stacking, con diffs) - feature importance

                    gain  splits  gain_pct
s2              267655.3     405      40.4
tn_0             80983.7     127      12.2
roll_med_3       45088.7     116       6.8
ncli_idx         30461.7     185       4.6
dprom_12         19041.0      89       2.9
ncli_0           15793.8     207       2.4
dprom_24         14737.1     127       2.2
mes_corte        13889.3     369       2.1
ncli_pend_12     10072.2     349       1.5
tn_1              8826.6     124       1.3
tn_15             5531.4     284       0.8
ma3_lag3          4895.0     151       0.7
tn_22             4713.0     216       0.7
s12               4582.7     329       0.7
ncli_prom         4284.4     280       0.6
tn_16             4222.8     231       0.6
s3                3970.8     115       0.6
tn_17             3869.7     270       0.6
r_yoy_tri         3680.7     235       0.6
tn_23             3606.6     195       0.5
tn_13             3530.0     247       0.5
edad_serie        3502.3     164       0.5
pend_12           3280.9     111       0.5
dprom_6           3180.6     112       0.5
ma3_lag9          3116.1     156       0.5
cruce_ma3_ma12    3014.8      53       0.5
tn_14             3008.9     223       0.5
ncli_pend_3       2959.0     215       0.4
dmax_24           2888.9     181       0.4
tn_18             2750.7     215       0.4
tn_12             2743.7     226       0.4
roll_std_12       2557.8     124       0.4
tn_21             2526.3     194       0.4
tn_9              2409.3     187       0.4
ncli_pend_6       2376.8     154       0.4
tn_10             2339.0     188       0.4
pend_6            2303.7      96       0.3
tn_11             2290.7     165       0.3
roll_med_6        2253.9     130       0.3
tn_8              2167.3     160       0.3
ma3_lag6          2075.5     145       0.3
tn_19             1993.0     176       0.3
roll_min_6        1971.4     139       0.3
diff_0_12         1970.5     144       0.3
tn_20             1957.8     163       0.3
tn_7              1886.7     144       0.3
tn_2              1784.2     119       0.3
roll_max_3        1748.1     119       0.3
diff_0_1          1737.9     122       0.3
roll_med_12       1651.4     127       0.2
r_sem             1636.8      90       0.2
basket_idx        1608.6     130       0.2
roll_std_3        1594.8     113       0.2
tn_4              1546.4     140       0.2
diff_3_4          1498.4     137       0.2
tn_5              1452.0     116       0.2
dmax_6            1411.7      93       0.2
tn_6              1383.6     120       0.2
tn_3              1376.3     117       0.2
s6                1336.0      75       0.2
diff_4_5          1332.8     118       0.2
diff_0_2          1274.4      88       0.2
roll_min_3        1240.8     102       0.2
roll_min_12       1225.0     101       0.2
roll_max_12       1207.6     102       0.2
r_1_2             1195.0      91       0.2
acel_ma3          1143.8      79       0.2
dmax_12           1137.0      79       0.2
diff_2_3          1108.1     100       0.2
diff_1_2          1055.9      83       0.2
diff_5_6          1051.6      94       0.2
anio_corte        1045.0      50       0.2
roll_max_6        1036.9      84       0.2
roll_std_6        1034.3      81       0.2
r_0_1             1010.0      83       0.2
r_02_34            894.1      78       0.1
r_tri              873.9      62       0.1
dmin_24            868.0      74       0.1
dmin_12            859.1      57       0.1
ma6_lag6           802.4      44       0.1
dmin_6             752.4      50       0.1
cv                 724.2      26       0.1
pend_3             322.1      28       0.0
cruce_ma6          208.8      12       0.0
